CRASH_CRN,DISTRICT,MUNICIPALITY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,WEATHER,ROAD_CONDITION,COLLISION_TYPE,SCH_BUS_IND,SCH_ZONE_IND,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_MAJ_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG,WET_ROAD,SNOW_SLUSH_ROAD,ICY_ROAD,SUDDEN_DEER,FATAL_OR_MAJ_INJ,INJURY,FATAL,SCHOOL_BUS,SCHOOL_ZONE,BICYCLE,HVY_TRUCK_RELATED,ALCOHOL_RELATED,DRINKING_DRIVER,UNDERAGE_DRNK_DRV,CELL_PHONE,SPEEDING_RELATED,AGGRESSIVE_DRIVING,FATIGUE_ASLEEP,PEDESTRIAN,DISTRACTED,MC_DRINKING_DRIVER,DRUGGED_DRIVER,INJURY_OR_FATAL,IMPAIRED_DRIVER,DEER_RELATED,DRUG_RELATED,STREET_NAME
2010032408,11,2301,2010,4,6,2310,23,1,0,4,N,N,1,1,0,0,0,0,0,0,1,0,0,0,0,0,40 27:18.741,80 01:21.316,40.4552002,-80.02259827,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,WARLO ST
2010033045,11,2301,2010,4,1,1320,13,1,0,4,N,N,0,0,0,0,1,0,1,0,2,0,2,0,0,0,40 25:14.365,79 59:56.065,40.42070007,-79.99890137,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,INDUSTRY ST
2010033163,11,2113,2010,4,1,1858,18,1,0,1,N,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,40 27:55.450,79 48:32.515,40.4654007,-79.80899811,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,IDLEWOOD RD
2010033274,11,2435,2010,4,6,1301,13,1,0,2,N,N,1,1,0,0,1,0,0,0,4,0,0,0,0,0,40 25:00.604,80 02:42.051,40.41680145,-80.04499817,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GREENTREE RD
2010033280,11,2419,2010,3,3,1232,12,1,0,7,N,N,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40 26:03.525,79 49:20.258,40.43439865,-79.82240295,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,WILLIAM PENN HW
2010033470,11,2301,2010,4,2,2130,21,1,0,7,N,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40 26:10.320,80 02:00.960,40.43619919,-80.03359985,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,WABASH ST
2010033620,11,2443,2010,3,7,448,4,1,0,7,N,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40 17:38.658,79 49:55.576,40.29410172,-79.83209991,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,BOSTON HOLLOW RD
2010034332,11,2446,2010,4,4,1218,12,1,0,1,N,N,3,0,0,0,0,0,0,0,1,0,0,0,0,0,40 26:20.262,79 45:50.846,40.43899918,-79.76409912,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,WILLIAM PENN HW
2010035378,11,2301,2010,4,1,1800,18,1,0,8,N,N,1,0,0,0,0,0,0,0,1,0,0,1,0,1,40 27:57.243,79 56:27.207,40.46590042,-79.94090271,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,ALHAMBRA WY
2010036596,11,2301,2010,4,6,105,1,1,0,5,N,N,0,2,0,0,0,0,0,1,1,0,0,0,0,0,40 27:35.096,79 52:25.978,40.46080017,-79.86840057,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FRANKSTOWN RD
